protocol_type,service,flag,src_bytes,count,serror_rate,diff_srv_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_rerror_rate,actual,predict
1,55,5,0,1,1.0,0.0,91,86,0.34,0.03,0.01,0.03,1.0,0.0,outlier,dos
1,25,1,0,239,0.0,0.06,255,7,0.03,0.07,0.0,0.0,0.0,1.0,dos,dos
1,45,1,0,201,0.0,0.08,255,3,0.01,0.08,0.0,0.0,0.0,1.0,dos,dos
1,24,1,0,280,0.0,0.06,255,8,0.03,0.06,0.0,0.0,0.0,1.0,dos,dos
1,55,9,0,1,0.0,0.0,255,217,0.85,0.03,0.0,0.0,0.33,0.12,outlier,dos
1,45,1,0,109,0.0,0.06,255,13,0.05,0.07,0.0,0.0,0.0,1.0,dos,dos
1,49,5,0,114,1.0,0.06,255,1,0.0,0.05,0.0,0.0,1.0,0.0,dos,dos
1,45,1,0,216,0.0,0.06,255,14,0.05,0.07,0.0,0.0,0.0,1.0,dos,dos
1,6,1,0,251,0.0,0.06,255,3,0.01,0.06,0.0,0.0,0.0,1.0,dos,dos
1,45,1,0,267,0.01,0.06,255,19,0.07,0.06,0.0,0.0,0.01,0.99,dos,dos
1,45,1,0,231,0.0,0.07,255,6,0.02,0.07,0.0,0.0,0.0,1.0,dos,dos
1,17,2,0,58,0.0,0.07,255,62,0.24,0.11,0.0,0.0,0.0,1.0,dos,dos
1,45,1,0,103,0.0,0.06,255,4,0.02,0.06,0.0,0.0,0.0,1.0,dos,dos
1,59,2,0,119,0.0,0.07,255,7,0.03,0.06,0.0,0.0,0.0,1.0,dos,dos
1,45,1,0,217,0.0,0.07,255,6,0.02,0.07,0.0,0.0,0.0,1.0,dos,dos
1,45,1,0,106,0.0,0.08,255,15,0.06,0.06,0.0,0.0,0.0,1.0,dos,dos
1,45,1,0,239,0.0,0.07,255,12,0.05,0.07,0.0,0.0,0.0,1.0,dos,dos
1,45,1,0,117,0.0,0.06,255,10,0.04,0.05,0.0,0.0,0.0,1.0,dos,dos
1,45,1,0,228,0.0,0.07,255,15,0.06,0.08,0.0,0.0,0.0,1.0,dos,dos
1,45,5,0,259,1.0,0.07,255,20,0.08,0.07,0.0,0.0,1.0,0.0,dos,dos
0,14,9,1032,173,0.0,0.0,255,254,1.0,0.01,1.0,0.0,0.0,0.0,dos,dos
1,62,1,0,282,0.0,0.06,255,17,0.07,0.07,0.0,0.0,0.0,1.0,dos,dos
0,14,9,508,511,0.0,0.0,255,192,0.75,0.02,0.75,0.0,0.0,0.23,dos,dos
1,45,1,0,132,0.0,0.05,255,12,0.05,0.06,0.0,0.0,0.0,1.0,dos,dos
1,45,1,0,226,0.03,0.07,255,2,0.01,0.08,0.0,0.0,0.02,0.98,dos,dos
1,55,9,0,1,0.0,0.0,255,169,0.66,0.31,0.0,0.0,0.5,0.31,outlier,dos
1,45,1,0,218,0.0,0.06,255,19,0.07,0.07,0.0,0.0,0.0,1.0,dos,dos
1,24,2,0,3,0.0,0.67,186,59,0.24,0.03,0.01,0.03,0.0,0.9,outlier,dos
1,45,1,0,131,0.0,0.06,255,5,0.02,0.05,0.0,0.0,0.0,1.0,dos,dos
1,45,1,0,269,0.0,0.07,255,7,0.03,0.07,0.0,0.0,0.0,1.0,dos,dos
1,55,5,0,1,1.0,0.0,160,85,0.34,0.02,0.01,0.02,1.0,0.0,outlier,dos
1,45,1,0,109,0.0,0.06,255,5,0.02,0.06,0.0,0.0,0.0,1.0,dos,dos
1,55,9,0,1,0.0,0.0,255,191,0.75,0.24,0.0,0.0,0.5,0.24,outlier,dos
1,45,5,0,200,1.0,0.06,255,8,0.03,0.07,0.0,0.0,1.0,0.0,dos,dos
1,49,9,2599,3,0.0,0.0,255,203,0.8,0.13,0.0,0.0,0.0,0.19,outlier,dos
1,45,1,0,267,0.0,0.06,255,11,0.04,0.07,0.0,0.0,0.0,1.0,dos,dos
1,55,9,0,1,0.0,0.0,255,19,0.07,0.82,0.0,0.0,0.0,0.8,outlier,dos
1,31,1,0,286,0.0,0.06,255,18,0.07,0.06,0.0,0.0,0.0,1.0,dos,dos
1,34,5,0,179,1.0,0.08,255,19,0.07,0.08,0.0,0.0,1.0,0.0,dos,dos
1,45,5,0,203,1.0,0.06,255,14,0.05,0.07,0.0,0.0,1.0,0.0,dos,dos
1,45,1,0,273,0.0,0.06,255,3,0.01,0.06,0.0,0.0,0.0,1.0,dos,dos
1,54,5,0,239,1.0,0.07,255,20,0.08,0.08,0.0,0.0,1.0,0.0,dos,dos
1,45,2,0,198,0.0,0.07,255,1,0.0,0.07,0.0,0.0,0.0,1.0,dos,dos
1,24,5,0,110,1.0,0.07,255,9,0.04,0.06,0.0,0.0,1.0,0.0,dos,dos
1,45,5,0,216,1.0,0.06,255,7,0.03,0.07,0.0,0.0,1.0,0.0,dos,dos
1,45,5,0,158,1.0,0.11,255,5,0.02,0.1,0.0,0.0,1.0,0.0,dos,dos
1,45,1,0,242,0.0,0.07,255,2,0.01,0.06,0.0,0.0,0.0,1.0,dos,dos
1,45,1,0,272,0.0,0.06,255,14,0.05,0.06,0.0,0.0,0.0,1.0,dos,dos
0,14,9,508,321,0.0,0.0,255,255,1.0,0.0,1.0,0.0,0.0,0.0,dos,dos
1,45,1,0,148,0.0,0.06,255,1,0.0,0.06,0.0,0.0,0.0,1.0,dos,dos
1,29,1,0,233,0.0,0.06,255,17,0.07,0.07,0.0,0.0,0.0,1.0,dos,dos
1,45,1,0,139,0.0,0.06,255,17,0.07,0.06,0.0,0.0,0.0,1.0,dos,dos
1,17,2,0,200,0.0,0.06,255,13,0.05,0.07,0.0,0.0,0.0,1.0,dos,dos
1,2,1,0,209,0.0,0.07,255,4,0.02,0.08,0.0,0.0,0.0,1.0,dos,dos
1,62,1,0,217,0.0,0.07,255,9,0.04,0.07,0.0,0.0,0.0,1.0,dos,dos
0,14,9,1008,70,0.0,0.0,255,255,1.0,0.0,1.0,0.0,0.0,0.0,dos,dos
1,45,1,0,195,0.0,0.07,255,3,0.01,0.07,0.0,0.0,0.0,1.0,dos,dos
1,45,5,0,148,1.0,0.05,58,11,0.19,0.09,0.02,0.0,1.0,0.0,dos,dos
1,3,1,0,202,0.0,0.06,255,10,0.04,0.06,0.0,0.0,0.0,1.0,dos,dos
1,55,9,0,1,0.0,0.0,255,128,0.5,0.01,0.0,0.0,0.0,0.65,outlier,dos
1,45,1,0,124,0.0,0.07,255,12,0.05,0.06,0.0,0.0,0.0,1.0,dos,dos
1,45,5,0,117,1.0,0.07,255,11,0.04,0.06,0.0,0.0,1.0,0.0,dos,dos
1,18,9,164,1,0.0,0.0,255,16,0.06,0.79,0.0,0.0,0.0,0.77,r2l,dos
1,45,5,0,224,1.0,0.07,255,2,0.01,0.07,0.0,0.0,1.0,0.0,dos,dos
1,33,5,0,234,1.0,0.07,255,2,0.01,0.07,0.0,0.0,1.0,0.0,dos,dos
1,45,5,0,189,1.0,0.08,255,17,0.07,0.08,0.0,0.0,1.0,0.0,dos,dos
1,55,5,0,1,1.0,0.0,7,3,0.43,0.43,0.14,0.0,1.0,0.0,outlier,dos
1,18,9,164,1,0.0,0.0,255,14,0.05,0.69,0.0,0.0,0.0,0.68,r2l,dos
1,45,1,0,252,0.0,0.06,138,19,0.14,0.09,0.01,0.0,0.0,1.0,dos,dos
1,55,2,0,266,0.0,0.06,255,17,0.07,0.07,0.0,0.0,0.0,1.0,dos,dos
1,45,5,0,294,1.0,0.06,255,16,0.06,0.06,0.0,0.0,1.0,0.0,dos,dos
1,60,1,0,211,0.0,0.08,255,15,0.06,0.08,0.0,0.0,0.0,1.0,dos,dos
1,45,5,0,216,1.0,0.06,255,17,0.07,0.06,0.0,0.0,1.0,0.0,dos,dos
1,45,1,0,145,0.0,0.06,244,17,0.07,0.05,0.0,0.0,0.0,1.0,dos,dos
1,45,2,0,140,0.0,0.06,255,17,0.07,0.05,0.0,0.0,0.0,1.0,dos,dos
1,45,1,0,212,0.0,0.07,255,19,0.07,0.06,0.0,0.0,0.0,1.0,dos,dos
1,24,5,0,1,1.0,0.0,148,86,0.34,0.02,0.01,0.02,1.0,0.0,outlier,dos
1,17,5,0,290,1.0,0.06,255,16,0.06,0.07,0.0,0.0,1.0,0.0,dos,dos
1,18,9,158,1,0.0,0.0,255,16,0.06,0.76,0.0,0.0,0.0,0.73,r2l,dos
1,45,1,0,221,0.0,0.08,255,2,0.01,0.08,0.0,0.0,0.0,1.0,dos,dos
1,55,8,0,1,1.0,0.0,255,60,0.24,0.68,0.0,0.0,0.14,0.67,outlier,dos
1,61,1,0,290,0.0,0.06,255,16,0.06,0.06,0.0,0.0,0.0,1.0,dos,dos
1,45,1,0,213,0.0,0.06,255,8,0.03,0.06,0.0,0.0,0.0,1.0,dos,dos
1,45,1,0,242,0.0,0.07,255,16,0.06,0.08,0.0,0.0,0.0,1.0,dos,dos
1,10,5,0,160,1.0,0.09,255,14,0.05,0.09,0.0,0.0,1.0,0.0,dos,dos
1,45,1,0,205,0.0,0.06,255,12,0.05,0.05,0.0,0.0,0.0,1.0,dos,dos
1,45,1,0,131,0.0,0.05,255,20,0.08,0.06,0.0,0.0,0.0,1.0,dos,dos
1,45,1,0,136,0.0,0.06,255,14,0.05,0.05,0.0,0.0,0.0,1.0,dos,dos
0,14,9,1032,201,0.0,0.0,255,255,1.0,0.0,1.0,0.0,0.0,0.0,dos,dos
1,24,2,0,2,0.0,1.0,226,59,0.23,0.02,0.0,0.03,0.0,0.89,outlier,dos
1,45,1,0,253,0.0,0.06,255,11,0.04,0.07,0.0,0.0,0.0,1.0,dos,dos
1,22,1,0,264,0.0,0.06,255,20,0.08,0.06,0.0,0.0,0.0,1.0,dos,dos
1,45,1,0,197,0.0,0.06,255,5,0.02,0.06,0.0,0.0,0.0,1.0,dos,dos
1,34,1,0,103,0.0,0.07,255,2,0.01,0.06,0.0,0.0,0.0,1.0,dos,dos
1,45,1,0,230,0.0,0.07,255,9,0.04,0.08,0.0,0.0,0.0,1.0,dos,dos
2,45,9,1,94,0.0,0.63,255,1,0.0,0.85,0.51,0.0,0.05,0.43,probe,dos
1,55,9,0,1,0.0,0.0,255,161,0.63,0.35,0.0,0.0,0.49,0.34,outlier,dos
1,31,5,0,236,1.0,0.07,255,2,0.01,0.07,0.0,0.0,1.0,0.0,dos,dos
1,45,1,0,108,0.0,0.06,255,2,0.01,0.05,0.0,0.0,0.0,1.0,dos,dos
1,32,1,0,195,0.0,0.07,255,5,0.02,0.07,0.0,0.0,0.0,1.0,dos,dos
1,45,1,0,123,0.0,0.07,255,17,0.07,0.05,0.0,0.0,0.0,1.0,dos,dos
1,45,1,0,246,0.0,0.07,255,9,0.04,0.08,0.0,0.0,0.0,1.0,dos,dos
1,45,1,0,141,0.0,0.06,255,19,0.07,0.06,0.0,0.0,0.0,1.0,dos,dos
1,43,9,32,1,0.0,0.0,255,151,0.59,0.02,0.0,0.0,0.0,0.14,r2l,dos
1,45,1,0,216,0.0,0.08,188,3,0.02,0.08,0.01,0.0,0.0,1.0,dos,dos
1,55,9,0,1,0.0,0.0,255,8,0.03,0.85,0.0,0.0,0.0,0.84,outlier,dos
1,45,5,0,103,1.0,0.06,255,4,0.02,0.06,0.0,0.0,1.0,0.0,dos,dos
1,45,1,0,282,0.0,0.06,255,2,0.01,0.06,0.0,0.0,0.0,1.0,dos,dos
1,45,1,0,270,0.0,0.06,255,5,0.02,0.06,0.0,0.0,0.0,1.0,dos,dos
0,14,9,1032,34,0.0,0.0,255,255,1.0,0.0,1.0,0.0,0.0,0.0,dos,dos
1,45,5,0,136,1.0,0.1,255,4,0.02,0.09,0.0,0.0,1.0,0.0,dos,dos
1,22,1,0,256,0.0,0.06,255,19,0.07,0.06,0.0,0.0,0.0,1.0,dos,dos
1,42,1,0,254,0.0,0.06,255,5,0.02,0.06,0.0,0.0,0.0,1.0,dos,dos
1,45,5,0,137,1.0,0.06,255,8,0.03,0.06,0.0,0.0,1.0,0.0,dos,dos
1,2,1,0,250,0.0,0.06,255,9,0.04,0.07,0.0,0.0,0.0,1.0,dos,dos
1,23,5,0,118,1.0,0.07,255,2,0.01,0.06,0.0,0.0,1.0,0.0,dos,dos
1,45,1,0,103,0.0,0.07,255,9,0.04,0.05,0.0,0.0,0.0,1.0,dos,dos
1,45,1,0,224,0.0,0.06,255,2,0.01,0.07,0.0,0.0,0.0,1.0,dos,dos
1,17,2,0,196,0.0,0.06,255,9,0.04,0.07,0.0,0.0,0.0,1.0,dos,dos
1,49,9,2599,3,0.0,0.0,255,188,0.74,0.13,0.0,0.0,0.0,0.25,outlier,dos
1,43,5,0,1,1.0,0.0,45,64,0.33,0.07,0.02,0.03,1.0,0.0,outlier,dos
0,14,9,1032,156,0.0,0.0,255,254,1.0,0.01,1.0,0.0,0.0,0.0,dos,dos
1,2,5,0,167,1.0,0.1,255,12,0.05,0.1,0.0,0.0,1.0,0.0,dos,dos
1,45,1,0,210,0.0,0.07,255,3,0.01,0.08,0.0,0.0,0.0,1.0,dos,dos
1,24,5,0,181,1.0,0.09,255,4,0.02,0.09,0.0,0.0,1.0,0.0,dos,dos
1,45,1,0,102,0.0,0.07,255,19,0.07,0.06,0.0,0.0,0.0,1.0,dos,dos
1,45,1,0,254,0.0,0.07,255,12,0.05,0.07,0.0,0.0,0.0,1.0,dos,dos
1,45,5,0,299,1.0,0.06,255,19,0.07,0.07,0.0,0.0,1.0,0.0,dos,dos
1,22,4,54540,6,0.0,0.0,255,229,0.9,0.01,0.0,0.0,0.0,0.01,dos,dos
1,52,2,0,234,0.0,0.07,255,4,0.02,0.07,0.0,0.0,0.0,1.0,dos,dos
1,43,5,0,1,1.0,0.0,63,85,0.33,0.05,0.03,0.04,1.0,0.0,outlier,dos
1,9,2,0,202,0.0,0.07,255,1,0.0,0.07,0.0,0.0,0.0,1.0,dos,dos
1,5,5,0,53,1.0,0.15,255,5,0.02,0.15,0.0,0.0,1.0,0.0,dos,dos
1,45,5,0,150,1.0,0.06,255,20,0.08,0.07,0.0,0.0,1.0,0.0,dos,dos
1,55,9,0,1,0.0,0.0,255,166,0.65,0.33,0.0,0.0,0.49,0.32,outlier,dos
1,24,1,0,217,0.0,0.06,255,17,0.07,0.07,0.0,0.0,0.0,1.0,dos,dos
0,14,9,1032,442,0.0,0.0,255,255,1.0,0.0,1.0,0.0,0.0,0.0,dos,dos
1,45,1,0,101,0.0,0.06,255,18,0.07,0.05,0.0,0.0,0.0,1.0,dos,dos
0,14,9,1032,174,0.0,0.0,255,254,1.0,0.01,1.0,0.0,0.0,0.0,dos,dos
0,14,9,1008,206,0.0,0.0,255,255,1.0,0.0,1.0,0.0,0.0,0.0,dos,dos
1,45,1,0,252,0.0,0.07,255,11,0.04,0.08,0.0,0.0,0.0,1.0,dos,dos
1,32,1,0,213,0.0,0.06,255,18,0.07,0.06,0.0,0.0,0.0,1.0,dos,dos
1,45,5,0,41,1.0,0.2,255,2,0.01,0.18,0.0,0.0,1.0,0.0,dos,dos
1,45,1,0,113,0.0,0.06,255,2,0.01,0.05,0.0,0.0,0.0,1.0,dos,dos
1,18,2,0,111,0.0,0.07,255,6,0.02,0.06,0.0,0.0,0.0,1.0,dos,dos
1,43,9,32,1,0.0,0.0,255,137,0.54,0.02,0.0,0.0,0.0,0.17,r2l,dos
1,45,1,0,246,0.0,0.06,255,11,0.04,0.08,0.0,0.0,0.0,1.0,dos,dos
1,45,1,0,260,0.0,0.07,255,18,0.07,0.07,0.0,0.0,0.0,1.0,dos,dos
1,45,1,0,165,0.0,0.07,255,5,0.02,0.07,0.0,0.0,0.0,1.0,dos,dos
1,30,5,0,38,1.0,0.16,255,4,0.02,0.15,0.0,0.0,1.0,0.0,dos,dos
0,14,9,1008,283,0.0,0.0,255,255,1.0,0.0,1.0,0.0,0.0,0.0,dos,dos
1,45,5,0,144,1.0,0.06,255,18,0.07,0.05,0.0,0.0,1.0,0.0,dos,dos
0,14,9,508,511,0.0,0.0,177,54,0.31,0.03,0.31,0.0,0.0,0.63,dos,dos
0,14,9,1008,146,0.0,0.0,255,255,1.0,0.0,1.0,0.0,0.0,0.0,dos,dos
0,14,9,1008,35,0.0,0.0,255,255,1.0,0.0,1.0,0.0,0.0,0.0,dos,dos
1,60,1,0,291,0.0,0.05,255,9,0.04,0.06,0.0,0.0,0.0,1.0,dos,dos
1,45,1,0,222,0.0,0.06,255,19,0.07,0.06,0.0,0.0,0.0,1.0,dos,dos
0,14,9,520,511,0.0,0.0,200,200,1.0,0.0,1.0,0.0,0.0,0.0,dos,dos
1,45,5,0,237,1.0,0.07,255,4,0.02,0.07,0.0,0.0,1.0,0.0,dos,dos
1,49,9,2599,3,0.0,0.0,255,204,0.8,0.13,0.0,0.0,0.0,0.19,outlier,dos
1,45,5,0,253,1.0,0.06,255,6,0.02,0.07,0.0,0.0,1.0,0.0,dos,dos
1,45,1,0,208,0.0,0.06,255,11,0.04,0.07,0.0,0.0,0.0,1.0,dos,dos
0,14,9,520,98,0.0,0.0,255,255,1.0,0.0,1.0,0.0,0.0,0.0,dos,dos
1,45,1,0,258,0.0,0.07,255,17,0.07,0.07,0.0,0.0,0.0,1.0,dos,dos
1,45,1,0,108,0.0,0.07,255,13,0.05,0.06,0.0,0.0,0.0,1.0,dos,dos
1,45,5,0,220,1.0,0.07,255,6,0.02,0.08,0.0,0.0,1.0,0.0,dos,dos
1,45,1,0,273,0.0,0.05,255,7,0.03,0.06,0.0,0.0,0.0,1.0,dos,dos
1,20,1,0,243,0.02,0.07,255,6,0.02,0.06,0.0,0.0,0.02,0.98,dos,dos
1,45,1,0,132,0.0,0.06,255,5,0.02,0.06,0.0,0.0,0.0,1.0,dos,dos
1,22,1,0,3,0.0,0.67,255,54,0.21,0.11,0.0,0.0,0.0,0.99,dos,dos
1,55,9,0,1,0.0,0.0,255,224,0.88,0.02,0.0,0.0,0.33,0.12,outlier,dos
1,45,1,0,208,0.0,0.07,255,7,0.03,0.08,0.0,0.0,0.0,1.0,dos,dos
1,45,5,0,148,1.0,0.1,255,2,0.01,0.1,0.0,0.0,1.0,0.0,dos,dos
1,16,2,0,115,0.0,0.07,255,2,0.01,0.06,0.0,0.0,0.0,1.0,dos,dos
1,45,1,0,248,0.0,0.06,255,20,0.08,0.06,0.0,0.0,0.0,1.0,dos,dos
1,45,5,0,230,1.0,0.05,255,19,0.07,0.07,0.0,0.0,1.0,0.0,dos,dos
1,29,1,0,249,0.0,0.07,255,17,0.07,0.07,0.0,0.0,0.0,1.0,dos,dos
1,24,9,0,2,0.0,1.0,187,51,0.2,0.03,0.01,0.04,0.0,0.17,outlier,dos
1,45,2,0,260,0.0,0.07,255,20,0.08,0.07,0.0,0.0,0.0,1.0,dos,dos
1,45,5,0,290,1.0,0.06,255,13,0.05,0.06,0.0,0.0,1.0,0.0,dos,dos
1,43,9,32,2,0.0,1.0,255,136,0.53,0.02,0.0,0.0,0.0,0.17,r2l,dos
1,55,9,0,1,0.0,0.0,255,15,0.06,0.83,0.0,0.0,0.0,0.82,outlier,dos
1,45,5,0,189,1.0,0.09,255,14,0.05,0.08,0.0,0.0,1.0,0.0,dos,dos
0,14,9,508,182,0.0,0.0,255,255,1.0,0.0,1.0,0.0,0.0,0.0,dos,dos
1,55,2,0,226,0.0,0.07,255,12,0.05,0.08,0.0,0.0,0.0,1.0,dos,dos
0,14,9,1032,510,0.0,0.0,255,223,0.87,0.01,0.87,0.0,0.0,0.0,dos,dos
1,45,5,0,108,1.0,0.06,255,8,0.03,0.05,0.0,0.0,1.0,0.0,dos,dos
1,30,2,0,101,0.0,0.07,255,9,0.04,0.06,0.0,0.0,0.0,1.0,dos,dos
1,24,5,0,1,1.0,0.0,225,85,0.33,0.01,0.0,0.02,1.0,0.0,outlier,dos
1,45,1,0,148,0.0,0.06,255,16,0.06,0.06,0.0,0.0,0.0,1.0,dos,dos
1,45,5,0,224,1.0,0.06,255,10,0.04,0.06,0.0,0.0,1.0,0.0,dos,dos
1,60,1,0,234,0.0,0.07,255,2,0.01,0.08,0.0,0.0,0.0,1.0,dos,dos
1,45,1,0,216,0.0,0.06,255,11,0.04,0.08,0.0,0.0,0.0,1.0,dos,dos
1,45,5,0,178,1.0,0.1,255,13,0.05,0.1,0.0,0.0,1.0,0.0,dos,dos
1,49,5,0,183,1.0,0.08,255,1,0.0,0.09,0.0,0.0,1.0,0.0,dos,dos
0,14,9,1480,1,0.0,0.0,2,13,0.5,1.0,0.5,0.54,0.0,0.0,dos,dos
0,14,9,1032,206,0.0,0.0,255,255,1.0,0.0,1.0,0.0,0.0,0.0,dos,dos
1,43,5,0,1,1.0,0.0,216,85,0.33,0.01,0.0,0.02,1.0,0.0,outlier,dos
0,14,9,1032,25,0.0,0.0,255,255,1.0,0.0,1.0,0.0,0.0,0.0,dos,dos
1,60,1,0,281,0.0,0.06,255,17,0.07,0.06,0.0,0.0,0.0,1.0,dos,dos
1,49,9,2599,3,0.0,0.0,255,219,0.86,0.13,0.0,0.0,0.0,0.13,outlier,dos
1,5,1,0,130,0.0,0.05,255,18,0.07,0.05,0.0,0.0,0.0,1.0,dos,dos
0,14,9,1008,230,0.0,0.0,255,255,1.0,0.0,1.0,0.0,0.0,0.0,dos,dos
1,22,4,54540,5,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.07,dos,dos
1,45,1,0,247,0.32,0.06,255,18,0.07,0.07,0.0,0.0,0.31,0.69,dos,dos
1,45,1,0,216,0.01,0.06,255,3,0.01,0.07,0.0,0.0,0.02,0.98,dos,dos
1,45,5,0,264,1.0,0.06,255,7,0.03,0.06,0.0,0.0,1.0,0.0,dos,dos
1,45,1,0,139,0.0,0.06,255,8,0.03,0.06,0.0,0.0,0.0,1.0,dos,dos
1,45,1,0,243,0.0,0.06,255,7,0.03,0.06,0.0,0.0,0.0,1.0,dos,dos
1,45,1,0,134,0.0,0.05,255,14,0.05,0.05,0.0,0.0,0.0,1.0,dos,dos
1,45,5,0,269,1.0,0.07,255,15,0.06,0.07,0.0,0.0,1.0,0.0,dos,dos
0,14,9,1008,461,0.0,0.0,255,255,1.0,0.0,1.0,0.0,0.0,0.0,dos,dos
1,40,1,0,511,0.15,1.0,255,1,0.0,0.49,0.0,0.0,0.05,0.49,probe,dos
1,45,1,0,120,0.0,0.08,255,20,0.08,0.06,0.0,0.0,0.0,1.0,dos,dos
1,45,1,0,217,0.0,0.06,255,1,0.0,0.06,0.0,0.0,0.0,1.0,dos,dos
1,45,1,0,296,0.0,0.06,255,3,0.01,0.06,0.0,0.0,0.0,1.0,dos,dos
1,16,2,0,120,0.0,0.08,255,1,0.0,0.06,0.0,0.0,0.0,1.0,dos,dos
1,45,1,0,144,0.0,0.06,255,8,0.03,0.06,0.0,0.0,0.02,0.98,dos,dos
1,45,1,0,273,0.0,0.06,255,10,0.04,0.07,0.0,0.0,0.0,1.0,dos,dos
1,45,5,0,212,1.0,0.07,255,16,0.06,0.07,0.0,0.0,1.0,0.0,dos,dos
1,45,1,0,118,0.0,0.08,255,15,0.06,0.06,0.0,0.0,0.0,1.0,dos,dos
1,45,1,0,269,0.0,0.07,255,13,0.05,0.07,0.0,0.0,0.0,1.0,dos,dos
1,45,1,0,228,0.0,0.06,255,14,0.05,0.06,0.0,0.0,0.0,0.99,dos,dos
1,2,1,0,277,0.19,0.06,255,8,0.03,0.07,0.0,0.0,0.21,0.79,dos,dos
1,25,1,0,258,0.0,0.06,255,16,0.06,0.06,0.0,0.0,0.0,1.0,dos,dos
1,49,9,2599,2,0.0,0.0,255,144,0.56,0.13,0.0,0.0,0.0,0.42,outlier,dos
1,45,1,0,136,0.0,0.05,255,19,0.07,0.06,0.0,0.0,0.0,1.0,dos,dos
1,55,5,0,45,1.0,0.09,255,60,0.24,0.02,0.0,0.0,0.97,0.0,dos,dos
1,45,1,0,266,0.0,0.07,255,16,0.06,0.07,0.0,0.0,0.0,1.0,dos,dos
1,45,1,0,272,0.0,0.07,255,16,0.06,0.07,0.0,0.0,0.0,1.0,dos,dos
1,45,1,0,149,0.0,0.06,255,20,0.08,0.05,0.0,0.0,0.0,1.0,dos,dos
1,45,1,0,236,0.0,0.06,255,12,0.05,0.05,0.0,0.0,0.0,1.0,dos,dos
1,6,1,0,257,0.0,0.06,255,2,0.01,0.06,0.0,0.0,0.0,1.0,dos,dos
1,45,5,0,178,1.0,0.1,255,14,0.05,0.09,0.0,0.0,1.0,0.0,dos,dos
1,45,5,0,132,1.0,0.07,255,11,0.04,0.06,0.0,0.0,1.0,0.0,dos,dos
1,45,5,0,298,1.0,0.05,255,16,0.06,0.06,0.0,0.0,1.0,0.0,dos,dos
1,3,1,0,251,0.0,0.07,255,18,0.07,0.07,0.0,0.0,0.0,1.0,dos,dos
1,45,1,0,221,0.0,0.08,255,8,0.03,0.08,0.0,0.0,0.0,1.0,dos,dos
1,55,9,0,1,0.0,0.0,255,197,0.77,0.03,0.0,0.0,0.33,0.12,outlier,dos
1,45,1,0,194,0.0,0.06,255,3,0.01,0.06,0.0,0.0,0.0,1.0,dos,dos
1,45,1,0,254,0.0,0.07,255,1,0.0,0.07,0.0,0.0,0.0,1.0,dos,dos
1,45,1,0,141,0.0,0.06,255,17,0.07,0.05,0.0,0.0,0.0,1.0,dos,dos
1,45,1,0,213,0.0,0.08,255,10,0.04,0.08,0.0,0.0,0.0,1.0,dos,dos
1,45,1,0,150,0.0,0.06,255,7,0.03,0.05,0.0,0.0,0.0,1.0,dos,dos
1,45,1,0,94,0.0,0.07,255,2,0.01,0.06,0.0,0.0,0.24,0.76,dos,dos
