protocol_type,service,flag,src_bytes,count,serror_rate,diff_srv_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_rerror_rate
1,22,9,357,1,0.0,0.0,131,255,1.0,0.0,0.01,0.03,0.0,0.0
2,45,9,43,1,0.0,0.0,255,254,1.0,0.01,0.0,0.0,0.0,0.0
1,22,9,244,4,0.0,0.0,206,255,1.0,0.0,0.0,0.01,0.0,0.0
1,55,2,124,1,0.0,0.0,255,254,1.0,0.01,0.0,0.0,0.01,0.02
1,22,9,313,8,0.0,0.0,72,255,1.0,0.0,0.01,0.04,0.0,0.0
1,22,9,285,2,0.0,0.0,67,255,1.0,0.0,0.01,0.04,0.01,0.0
1,22,9,293,10,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0
1,55,9,121,1,0.0,0.0,255,120,0.47,0.02,0.0,0.0,0.0,0.01
1,49,9,4030,1,0.0,0.0,149,102,0.56,0.03,0.01,0.02,0.0,0.0
2,11,9,44,120,0.0,0.0,255,255,1.0,0.0,0.01,0.0,0.0,0.0
1,22,9,205,20,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0
1,43,9,26,1,0.0,0.0,255,246,0.96,0.02,0.0,0.0,0.0,0.01
1,22,9,389,11,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0
1,22,9,321,6,0.0,0.0,64,255,1.0,0.0,0.02,0.02,0.0,0.0
1,18,9,26,1,0.0,0.0,218,107,0.49,0.03,0.0,0.0,0.0,0.0
2,45,9,105,1,0.0,0.0,192,191,0.99,0.01,0.01,0.0,0.0,0.0
1,22,5,0,110,1.0,0.0,255,255,1.0,0.0,0.0,0.0,0.65,0.32
1,22,9,197,18,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0
1,22,9,353,4,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0
1,19,9,12,1,0.0,0.0,7,7,1.0,0.0,1.0,0.0,0.0,0.0
1,22,9,326,11,0.0,0.0,32,255,1.0,0.0,0.03,0.05,0.0,0.0
2,45,9,105,1,0.0,0.0,52,51,0.98,0.04,0.02,0.0,0.0,0.0
1,22,9,283,26,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0
1,22,9,227,7,0.0,0.0,7,255,1.0,0.0,0.14,0.01,0.0,0.0
2,45,9,43,2,0.0,0.0,255,255,1.0,0.0,0.01,0.0,0.0,0.0
1,22,9,211,13,0.0,0.0,30,255,1.0,0.0,0.03,0.05,0.0,0.0
1,22,9,258,10,0.0,0.0,71,255,1.0,0.0,0.01,0.03,0.0,0.0
1,22,9,54540,4,0.0,0.0,255,254,1.0,0.01,0.0,0.0,0.0,0.07
2,11,9,44,178,0.0,0.01,255,254,1.0,0.01,0.01,0.0,0.0,0.0
1,22,9,234,38,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0
1,22,9,306,6,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0
1,22,5,0,35,0.26,0.0,255,255,1.0,0.0,0.0,0.0,0.05,0.68
2,45,9,53,505,0.0,0.0,255,255,1.0,0.0,0.85,0.0,0.0,0.0
1,22,4,57964,42,0.02,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.16
1,49,9,1376,1,0.0,0.0,96,65,0.68,0.04,0.01,0.0,0.0,0.0
1,22,5,0,29,0.79,0.0,255,255,1.0,0.0,0.0,0.0,0.14,0.7
1,49,9,1500,1,0.0,0.0,193,218,0.82,0.03,0.01,0.01,0.0,0.0
1,49,9,1710,1,0.0,0.0,255,142,0.56,0.02,0.0,0.0,0.0,0.0
1,22,9,245,9,0.0,0.0,222,255,1.0,0.0,0.01,0.01,0.0,0.0
1,22,9,235,2,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0
1,18,9,26,1,0.0,0.0,179,85,0.47,0.03,0.01,0.0,0.0,0.0
2,11,9,44,5,0.0,0.4,255,212,0.83,0.01,0.01,0.0,0.0,0.0
1,22,9,347,4,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0
2,45,9,46,20,0.0,0.0,255,255,1.0,0.0,0.07,0.0,0.0,0.0
1,22,9,245,3,0.0,0.0,18,255,1.0,0.0,0.06,0.01,0.0,0.0
2,45,9,54,511,0.0,0.0,255,255,1.0,0.0,0.98,0.0,0.0,0.0
1,22,9,328,3,0.0,0.0,118,255,1.0,0.0,0.01,0.05,0.0,0.0
1,22,9,163,1,0.0,0.0,1,255,1.0,0.0,1.0,0.03,0.0,0.0
1,22,7,54540,4,0.25,0.0,255,254,1.0,0.01,0.0,0.0,0.0,0.01
2,45,9,105,1,0.0,0.0,100,99,0.99,0.02,0.01,0.0,0.0,0.0
1,22,9,204,17,0.0,0.0,233,255,1.0,0.0,0.0,0.01,0.0,0.0
1,22,9,316,11,0.0,0.0,50,255,1.0,0.0,0.02,0.01,0.0,0.0
2,45,9,52,509,0.0,0.0,255,255,1.0,0.0,0.96,0.0,0.0,0.0
1,19,9,6932,2,0.0,0.0,36,5,0.14,0.08,0.14,0.0,0.0,0.0
1,43,9,32,1,0.0,0.0,255,171,0.67,0.02,0.0,0.0,0.0,0.11
1,22,9,232,5,0.0,0.0,101,255,1.0,0.0,0.01,0.02,0.0,0.0
1,22,9,251,1,0.0,0.0,58,255,1.0,0.0,0.02,0.04,0.0,0.0
1,49,9,1055,1,0.0,0.0,142,192,0.81,0.03,0.01,0.01,0.0,0.02
1,22,9,286,16,0.0,0.0,152,255,1.0,0.0,0.01,0.01,0.0,0.0
1,22,9,321,18,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0
1,19,9,283618,2,0.0,0.0,6,12,1.0,0.0,1.0,0.25,0.0,0.0
1,45,6,2,1,1.0,0.0,255,2,0.01,0.03,0.0,0.0,0.45,0.02
2,11,9,22,3,0.0,0.67,141,134,0.95,0.02,0.01,0.0,0.0,0.0
1,22,9,223,3,0.0,0.0,157,255,1.0,0.0,0.01,0.02,0.0,0.0
1,22,9,237,16,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0
2,45,9,45,511,0.0,0.0,255,255,1.0,0.0,0.83,0.0,0.0,0.0
1,22,5,0,16,1.0,0.0,255,245,0.96,0.01,0.0,0.0,0.21,0.56
1,22,9,301,14,0.0,0.0,120,255,1.0,0.0,0.01,0.01,0.0,0.0
2,11,9,44,87,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0
1,43,9,30,2,0.0,1.0,255,249,0.98,0.01,0.0,0.0,0.0,0.02
1,22,9,197,16,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0
1,22,9,350,5,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0
2,11,9,46,127,0.0,0.02,255,254,1.0,0.01,0.01,0.0,0.0,0.0
2,45,9,52,511,0.0,0.0,255,255,1.0,0.0,0.78,0.0,0.0,0.0
1,22,9,207,12,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0
1,22,9,180,1,0.0,0.0,94,255,1.0,0.0,0.01,0.01,0.0,0.0
1,22,9,339,11,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0
2,45,9,55,511,0.0,0.0,255,255,1.0,0.0,1.0,0.0,0.0,0.0
2,45,9,49,1,0.0,0.0,255,255,1.0,0.0,0.01,0.0,0.0,0.0
2,11,9,42,8,0.0,0.0,255,251,0.98,0.01,0.0,0.0,0.0,0.0
1,55,9,123,2,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.01,0.02
1,22,9,78202,4,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0
1,22,9,271,15,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0
2,11,9,46,160,0.0,0.0,255,255,1.0,0.0,0.01,0.0,0.0,0.0
1,49,9,1107,1,0.0,0.0,20,178,0.9,0.15,0.05,0.01,0.0,0.0
1,18,9,241,1,0.0,0.0,171,73,0.42,0.04,0.01,0.03,0.0,0.01
1,22,9,223,5,0.0,0.0,48,255,1.0,0.0,0.02,0.02,0.0,0.0
1,22,9,205,7,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0
2,45,9,105,1,0.0,0.0,255,251,0.98,0.01,0.01,0.0,0.0,0.0
1,55,9,0,1,0.0,0.0,255,164,0.64,0.03,0.0,0.0,0.33,0.11
2,45,9,54,511,0.0,0.0,255,255,1.0,0.0,0.85,0.0,0.0,0.0
1,22,9,268,4,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0
1,22,9,324,20,0.0,0.0,20,255,1.0,0.0,0.05,0.07,0.0,0.0
1,22,9,222,7,0.0,0.0,38,255,1.0,0.0,0.03,0.04,0.0,0.0
1,22,9,236,3,0.0,0.0,255,211,0.83,0.11,0.0,0.0,0.0,0.1
1,19,9,868,1,0.0,0.0,1,23,1.0,0.0,1.0,0.09,0.0,0.0
1,22,9,239,2,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0
1,43,9,28,1,0.0,0.0,255,224,0.88,0.04,0.0,0.0,0.0,0.0
1,22,9,206,9,0.0,0.0,158,255,1.0,0.0,0.01,0.02,0.0,0.0
1,22,9,286,6,0.0,0.0,6,251,1.0,0.0,0.17,0.07,0.0,0.0
1,22,9,211,3,0.0,0.0,3,255,1.0,0.0,0.33,0.04,0.0,0.0
1,49,9,0,1,0.0,0.0,18,103,0.44,0.28,0.06,0.02,0.0,0.0
2,45,9,105,1,0.0,0.0,255,248,0.97,0.01,0.01,0.0,0.0,0.0
1,55,9,119,2,0.0,0.0,255,33,0.13,0.02,0.0,0.0,0.0,0.0
2,11,9,43,49,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0
1,22,9,209,28,0.0,0.0,76,255,1.0,0.0,0.01,0.02,0.0,0.0
1,22,9,283,9,0.0,0.0,34,255,1.0,0.0,0.03,0.02,0.03,0.0
1,22,9,198,9,0.0,0.0,9,253,1.0,0.0,0.11,0.06,0.0,0.0
1,22,9,314,4,0.0,0.0,48,242,1.0,0.0,0.02,0.03,0.0,0.0
1,22,9,317,21,0.0,0.0,21,255,1.0,0.0,0.05,0.08,0.0,0.0
1,43,9,30,1,0.0,0.0,255,246,0.96,0.01,0.0,0.0,0.0,0.0
1,22,9,54540,3,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.03
1,22,9,310,3,0.0,0.0,6,255,1.0,0.0,0.17,0.03,0.0,0.0
2,45,9,54,511,0.0,0.0,255,255,1.0,0.0,0.95,0.0,0.0,0.0
1,55,9,0,1,0.0,0.0,255,229,0.9,0.11,0.0,0.0,0.5,0.11
1,19,9,283618,1,0.0,0.0,3,15,1.0,0.0,1.0,0.13,0.0,0.0
1,55,9,24,3,0.0,0.67,45,85,0.33,0.11,0.02,0.02,0.0,0.87
1,22,9,207,14,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0
1,55,9,0,1,0.0,0.0,255,98,0.38,0.02,0.0,0.0,0.61,0.01
1,22,9,320,9,0.0,0.0,255,151,0.59,0.33,0.0,0.0,0.01,0.38
2,11,9,44,106,0.0,0.02,255,254,1.0,0.01,0.0,0.0,0.0,0.0
1,22,9,304,22,0.0,0.0,22,255,1.0,0.0,0.05,0.04,0.0,0.0
2,11,9,44,3,0.0,0.0,255,225,0.88,0.01,0.01,0.0,0.0,0.04
0,58,9,36,1,0.0,0.0,138,37,0.27,0.06,0.27,0.0,0.01,0.0
1,22,9,54540,5,0.0,0.0,255,242,0.95,0.01,0.0,0.0,0.0,0.06
1,22,9,272,24,0.0,0.0,186,255,1.0,0.0,0.01,0.02,0.0,0.0
1,22,9,321,9,0.0,0.0,13,255,1.0,0.0,0.08,0.03,0.0,0.0
2,45,9,47,1,0.0,0.0,255,255,1.0,0.0,0.01,0.0,0.0,0.0
1,22,9,279,2,0.0,0.0,152,255,1.0,0.0,0.01,0.03,0.0,0.0
1,19,9,768,9,0.0,0.0,82,37,0.45,0.06,0.45,0.0,0.0,0.0
1,3,9,13,1,0.0,0.0,142,3,0.02,0.04,0.01,0.0,0.0,0.0
1,19,9,283618,2,0.0,0.0,4,14,1.0,0.0,1.0,0.14,0.0,0.0
1,43,9,26,1,0.0,0.0,148,131,0.88,0.02,0.01,0.02,0.0,0.07
1,49,9,1397,1,0.0,0.0,193,122,0.63,0.08,0.01,0.0,0.0,0.02
1,19,9,252,2,0.0,0.0,65,7,0.11,0.08,0.11,0.0,0.0,0.0
1,18,9,160,1,0.0,0.0,101,6,0.06,0.62,0.01,0.0,0.0,0.62
1,22,9,241,1,0.0,0.0,1,123,1.0,0.0,1.0,0.02,0.0,0.0
2,11,9,44,83,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0
1,22,9,247,9,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.01,0.0
1,22,9,343,1,0.0,0.0,196,255,1.0,0.0,0.01,0.01,0.0,0.0
1,22,9,293,2,0.0,0.0,9,255,1.0,0.0,0.11,0.02,0.0,0.0
1,49,9,4255,1,0.0,0.0,143,152,0.83,0.03,0.01,0.01,0.0,0.0
2,45,9,1,57,0.0,1.0,255,1,0.0,0.7,0.96,0.0,0.0,0.04
1,22,4,60884,73,0.03,0.0,255,253,0.99,0.01,0.0,0.0,0.01,0.35
1,22,9,256,3,0.0,0.0,120,255,1.0,0.0,0.01,0.05,0.0,0.0
1,22,9,193,1,0.0,0.0,223,220,0.99,0.01,0.0,0.0,0.0,0.01
1,22,9,238,1,0.0,0.0,1,255,1.0,0.0,1.0,0.04,0.0,0.0
2,45,9,1,143,0.0,0.7,255,9,0.04,0.86,1.0,0.0,0.0,0.0
1,22,9,257,15,0.07,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0
1,22,9,239,6,0.0,0.0,255,7,0.03,0.01,0.0,0.0,0.02,0.02
2,45,9,105,1,0.0,0.0,43,42,0.98,0.05,0.02,0.0,0.0,0.0
1,22,9,327,19,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0
1,22,9,225,10,0.0,0.0,163,255,1.0,0.0,0.01,0.04,0.0,0.0
1,22,9,334,3,0.0,0.0,255,245,0.96,0.01,0.0,0.0,0.0,0.0
1,22,4,56504,61,0.02,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.23
1,22,9,245,11,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0
1,18,9,26,1,0.0,0.0,255,129,0.51,0.03,0.0,0.0,0.0,0.0
2,45,9,46,6,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0
1,22,9,321,4,0.0,0.0,22,255,1.0,0.0,0.05,0.05,0.0,0.0
1,22,4,56504,8,0.0,0.0,255,244,0.96,0.01,0.0,0.0,0.02,0.51
1,22,9,209,12,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0
1,22,5,0,129,1.0,0.0,255,255,1.0,0.0,0.0,0.0,0.72,0.25
1,22,9,271,2,0.0,0.0,79,255,1.0,0.0,0.01,0.02,0.0,0.0
1,55,5,0,42,1.0,0.0,115,51,0.44,0.15,0.01,0.0,0.37,0.04
2,45,9,105,1,0.0,0.0,169,168,0.99,0.01,0.01,0.0,0.0,0.0
1,49,9,1620,1,0.0,0.0,158,147,0.77,0.04,0.01,0.01,0.0,0.0
1,22,9,202,37,0.0,0.0,50,255,1.0,0.0,0.02,0.04,0.0,0.0
1,22,9,54540,4,0.0,0.0,255,229,0.9,0.01,0.0,0.0,0.0,0.01
1,22,9,241,7,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0
1,19,9,12,1,0.0,0.0,14,21,0.93,0.14,0.93,0.1,0.0,0.0
1,55,8,0,1,1.0,0.0,255,101,0.4,0.53,0.0,0.0,0.3,0.51
2,11,9,44,64,0.0,0.0,255,255,1.0,0.0,0.01,0.0,0.0,0.0
1,22,9,287,28,0.0,0.0,28,255,1.0,0.0,0.04,0.01,0.0,0.0
1,55,9,124,1,0.0,0.0,255,2,0.01,0.02,0.0,0.0,0.0,0.0
1,22,9,361,10,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0
2,45,9,56,511,0.0,0.0,255,255,1.0,0.0,0.95,0.0,0.0,0.0
1,22,5,0,115,1.0,0.0,255,255,1.0,0.0,0.0,0.0,0.67,0.3
1,22,9,231,15,0.0,0.0,32,255,1.0,0.0,0.03,0.02,0.0,0.0
1,22,9,150,1,0.0,0.0,53,255,1.0,0.0,0.02,0.05,0.0,0.0
1,49,9,924,1,0.0,0.0,255,170,0.67,0.02,0.0,0.0,0.0,0.02
1,22,9,318,1,0.0,0.0,2,255,1.0,0.0,0.5,0.03,0.0,0.0
1,22,9,298,6,0.0,0.0,30,255,1.0,0.0,0.03,0.02,0.0,0.0
1,22,9,260,1,0.0,0.0,119,247,1.0,0.0,0.01,0.02,0.0,0.0
1,43,9,30,1,0.0,0.0,255,231,0.91,0.04,0.0,0.0,0.0,0.0
1,22,9,225,11,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0
1,18,9,210,1,0.0,0.0,140,16,0.11,0.06,0.01,0.0,0.0,0.0
2,45,9,1,65,0.0,0.94,255,2,0.01,0.7,0.97,0.0,0.0,0.03
2,45,9,53,508,0.0,0.0,255,255,1.0,0.0,0.82,0.0,0.0,0.0
1,22,9,240,11,0.0,0.0,37,255,1.0,0.0,0.03,0.02,0.0,0.0
2,11,9,32,1,0.0,0.0,129,59,0.24,0.04,0.24,0.03,0.0,0.0
1,22,4,57184,23,0.22,0.0,255,255,1.0,0.0,0.0,0.0,0.03,0.65
1,22,9,220,6,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0
1,22,9,361,25,0.0,0.0,82,224,1.0,0.0,0.01,0.02,0.0,0.0
1,22,9,243,25,0.0,0.0,107,255,1.0,0.0,0.01,0.03,0.0,0.0
1,17,9,10,1,0.0,0.0,255,2,0.01,0.02,0.0,0.0,0.0,0.79
2,11,9,44,123,0.0,0.0,255,254,1.0,0.01,0.0,0.0,0.0,0.0
1,19,9,283618,2,0.0,0.0,4,10,1.0,0.0,1.0,0.2,0.0,0.0
2,40,9,115,13,0.0,0.0,244,13,0.05,0.04,0.11,0.0,0.0,0.07
1,49,9,16550,1,0.0,0.0,224,142,0.63,0.03,0.0,0.0,0.0,0.0
1,22,9,211,4,0.0,0.0,65,255,1.0,0.0,0.02,0.03,0.0,0.0
1,22,9,273,6,0.0,0.0,42,255,1.0,0.0,0.02,0.04,0.0,0.0
2,40,9,1,370,0.0,1.0,255,1,0.0,1.0,1.0,0.0,0.0,0.0
2,11,9,36,10,0.0,0.0,49,49,1.0,0.0,1.0,0.0,0.0,0.0
1,22,9,218,3,0.0,0.0,3,152,1.0,0.0,0.33,0.03,0.0,0.0
2,45,9,1,473,0.0,0.96,255,20,0.08,0.93,0.99,0.0,0.0,0.0
2,45,9,53,511,0.0,0.0,255,255,1.0,0.0,0.91,0.0,0.0,0.0
1,22,9,215,12,0.0,0.0,96,255,1.0,0.0,0.01,0.06,0.0,0.0
1,22,9,330,15,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0
1,22,9,331,33,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0
2,45,9,105,1,0.0,0.0,255,251,0.98,0.01,0.01,0.0,0.0,0.0
1,22,9,54540,2,0.0,0.0,255,239,0.94,0.01,0.0,0.0,0.0,0.02
1,22,9,317,2,0.0,0.0,37,255,1.0,0.0,0.03,0.05,0.03,0.0
1,49,9,763,1,0.0,0.0,91,195,0.87,0.04,0.01,0.01,0.0,0.0
1,55,9,125,1,0.0,0.0,255,12,0.05,0.02,0.0,0.0,0.0,0.0
1,22,9,214,1,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0
2,11,9,44,150,0.0,0.01,255,254,1.0,0.01,0.0,0.0,0.0,0.0
1,18,9,161,1,0.0,0.0,255,97,0.38,0.03,0.0,0.0,0.0,0.0
1,22,9,301,17,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0
2,11,9,42,9,0.0,0.0,255,255,1.0,0.0,0.01,0.0,0.0,0.0
2,11,9,44,102,0.0,0.0,255,208,0.82,0.01,0.01,0.0,0.0,0.0
2,11,9,43,5,0.0,0.0,255,248,0.97,0.01,0.0,0.0,0.0,0.0
1,19,9,283618,2,0.0,0.0,37,76,0.22,0.16,0.22,0.03,0.0,0.0
1,22,5,0,42,0.64,0.0,255,255,1.0,0.0,0.0,0.0,0.14,0.7
1,19,9,11,2,0.0,0.0,255,4,0.02,0.02,0.02,0.0,0.87,0.01
1,22,9,294,4,0.0,0.0,20,251,1.0,0.0,0.05,0.04,0.0,0.0
1,49,9,1428,1,0.0,0.0,175,93,0.25,0.03,0.01,0.02,0.0,0.0
1,22,9,162,2,0.5,0.0,255,255,1.0,0.0,0.0,0.0,0.01,0.0
1,22,9,323,1,0.0,0.0,2,190,1.0,0.0,0.5,0.09,0.0,0.0
1,22,4,61504,28,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.56
1,19,9,12,1,0.0,0.0,1,8,1.0,0.0,1.0,0.25,0.0,0.0
1,49,9,1684,1,0.0,0.0,255,4,0.02,0.02,0.0,0.0,0.0,0.04
1,22,9,249,1,0.0,0.0,78,255,1.0,0.0,0.01,0.04,0.0,0.0
1,22,9,298,5,0.0,0.0,113,251,1.0,0.0,0.01,0.04,0.0,0.0
1,43,9,32,1,0.0,0.0,214,195,0.91,0.01,0.0,0.0,0.0,0.05
1,22,9,287,13,0.0,0.0,51,255,1.0,0.0,0.02,0.05,0.0,0.0
1,22,4,57964,73,0.03,0.0,255,253,0.99,0.01,0.0,0.0,0.01,0.41
1,22,9,235,2,0.0,0.0,24,177,1.0,0.0,0.04,0.05,0.0,0.0
1,22,9,218,18,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.01,0.0
1,22,9,219,8,0.0,0.0,95,253,1.0,0.0,0.01,0.05,0.0,0.0
1,22,9,222,4,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0
1,22,9,240,3,0.0,0.0,48,255,1.0,0.0,0.02,0.04,0.0,0.0
1,22,9,234,18,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0
1,49,9,988,1,0.0,0.0,190,169,0.68,0.02,0.01,0.01,0.0,0.0
2,45,9,105,1,0.0,0.0,255,252,0.99,0.01,0.01,0.0,0.0,0.0
1,22,9,231,5,0.0,0.0,115,255,1.0,0.0,0.01,0.02,0.0,0.0
2,45,9,53,503,0.0,0.0,255,255,1.0,0.0,0.82,0.0,0.0,0.0
2,11,9,45,73,0.0,0.03,255,254,1.0,0.01,0.01,0.0,0.0,0.0
1,55,8,0,1,1.0,0.0,255,107,0.42,0.03,0.0,0.0,0.12,0.11
1,22,9,216,7,0.0,0.0,46,255,1.0,0.0,0.02,0.01,0.0,0.0
1,18,9,162,1,0.0,0.0,255,17,0.07,0.02,0.0,0.0,0.14,0.25
1,22,9,230,15,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0
1,22,4,59424,64,0.03,0.0,255,253,0.99,0.01,0.0,0.0,0.01,0.51
2,11,9,42,145,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0
